epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,1,,,
2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,2,,,
3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,3,,,
4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,3,,,
5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,4,,,
6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,5,,,
7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,5,,,
8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,6,,,
9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,6,,,
10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,7,0.0000,0.0000,0.0000
11,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,7,,,
12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,8,,,
13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,8,,,
14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,9,,,
15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,9,,,
16,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,10,,,
17,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,10,,,
18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,11,,,
19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,11,,,
20,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,12,0.0000,0.0000,0.0000
21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,12,,,
22,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,13,,,
23,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,13,,,
24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,14,,,
25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,14,,,
26,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,15,,,
27,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,15,,,
28,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,16,,,
29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,16,,,
30,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,17,0.0000,0.0000,0.0000
31,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,17,,,
32,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,18,,,
33,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,18,,,
34,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,19,,,
35,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,19,,,
36,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,20,,,
37,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,20,,,
38,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,21,,,
39,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,21,,,
40,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,22,0.0000,0.0000,0.0000
41,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,22,,,
42,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,23,,,
43,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,23,,,
44,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,24,,,
45,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,24,,,
46,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,25,,,
47,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,25,,,
48,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,26,,,
49,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,26,,,
50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000100,27,0.0000,0.0000,0.0000
